Date,Option_ID,Symbol,Maturity,Strike,Buy,Sell,Ask_Price,Bid_Price,Premium_Cost,Next_Day_Premium_Value,Estimated_PnL,Spot_Move,Exposure,Daily_PnL,Cumulative_PnL,SPY_Spot_Move,IWM_Spot_Move,QQQ_Spot_Move
4/11/2024,SPY_4/12/2024_518.0,SPY,4/12/2024,518.0,592.0,0.0,1.76,1.74,104192.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_519.0,SPY,4/12/2024,519.0,1619.0,0.0,1.25,1.24,202375.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_520.0,SPY,4/12/2024,520.0,2646.0,0.0,0.85,0.84,224910.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_521.0,SPY,4/12/2024,521.0,3311.0,0.0,0.55,0.54,182105.00000000003,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_522.0,SPY,4/12/2024,522.0,3614.0,0.0,0.34,0.33,122876.00000000001,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_523.0,SPY,4/12/2024,523.0,3917.0,0.0,0.2,0.19,78340.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_524.0,SPY,4/12/2024,524.0,6086.0,0.0,0.12,0.1,73032.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_525.0,SPY,4/12/2024,525.0,8254.0,0.0,0.06,0.05,49524.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_526.0,SPY,4/12/2024,526.0,9338.0,0.0,0.04,0.03,37352.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_527.0,SPY,4/12/2024,527.0,11227.0,0.0,0.03,0.02,33681.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_528.0,SPY,4/12/2024,528.0,13117.0,0.0,0.03,0.02,39351.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_529.0,SPY,4/12/2024,529.0,13513.0,0.0,0.02,0.01,27026.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_530.0,SPY,4/12/2024,530.0,12416.0,0.0,0.02,0.01,24832.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_531.0,SPY,4/12/2024,531.0,11319.0,0.0,0.01,0.0,11319.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_532.0,SPY,4/12/2024,532.0,14241.0,0.0,0.01,0.0,14241.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_533.0,SPY,4/12/2024,533.0,17163.0,0.0,0.01,0.0,17163.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_534.0,SPY,4/12/2024,534.0,18141.0,0.0,0.01,0.0,18141.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_535.0,SPY,4/12/2024,535.0,17175.0,0.0,0.01,0.0,17175.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/11/2024,SPY_4/12/2024_536.0,SPY,4/12/2024,536.0,16209.0,0.0,0.01,0.0,16209.0,0,,1.0349671415301123,210170108.96800765,0,0,1.0349671415301123,1.0343408283859459,1.0507153280715102
4/12/2024,SPY_4/15/2024_518.0,SPY,4/15/2024,518.0,1984.0,0.0,0.29,0.28,57535.99999999999,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_519.0,SPY,4/15/2024,519.0,2232.0,0.0,0.2,0.19,44640.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_520.0,SPY,4/15/2024,520.0,2363.0,0.0,0.14,0.13,33082.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_521.0,SPY,4/15/2024,521.0,2495.0,0.0,0.09,0.08,22455.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_522.0,SPY,4/15/2024,522.0,9987.0,0.0,0.06,0.05,59922.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_523.0,SPY,4/15/2024,523.0,17480.0,0.0,0.05,0.04,87400.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_524.0,SPY,4/15/2024,524.0,19256.0,0.0,0.03,0.02,57768.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_525.0,SPY,4/15/2024,525.0,15314.0,0.0,0.03,0.02,45942.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_526.0,SPY,4/15/2024,526.0,11372.0,0.0,0.03,0.02,34116.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_527.0,SPY,4/15/2024,527.0,11744.0,0.0,0.02,0.01,23488.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_528.0,SPY,4/15/2024,528.0,12115.0,0.0,0.02,0.01,24230.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_529.0,SPY,4/15/2024,529.0,14499.0,0.0,0.02,0.01,28998.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_530.0,SPY,4/15/2024,530.0,16697.0,0.0,0.01,0.0,16697.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_531.0,SPY,4/15/2024,531.0,21092.0,0.0,0.01,0.0,21092.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_532.0,SPY,4/15/2024,532.0,21695.0,0.0,0.01,0.0,21695.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/12/2024,SPY_4/15/2024_533.0,SPY,4/15/2024,533.0,18504.0,0.0,0.01,0.0,18504.0,0,,1.0452302985640802,160101034.90428296,0,0,1.0452302985640802,1.03319015950332,1.0374879456457622
4/15/2024,SPY_4/16/2024_518.0,SPY,4/16/2024,518.0,14241.0,0.0,0.05,0.04,71205.0,0,,1.045792128155074,248235106.07789233,0,0,1.045792128155074,1.045209216749835,1.0339578842109756
4/15/2024,SPY_4/16/2024_519.0,SPY,4/16/2024,519.0,17163.0,0.0,0.04,0.03,68652.0,0,,1.045792128155074,248235106.07789233,0,0,1.045792128155074,1.045209216749835,1.0339578842109756
4/15/2024,SPY_4/16/2024_520.0,SPY,4/16/2024,520.0,18141.0,0.0,0.04,0.03,72564.0,0,,1.045792128155074,248235106.07789233,0,0,1.045792128155074,1.045209216749835,1.0339578842109756
4/15/2024,SPY_4/16/2024_521.0,SPY,4/16/2024,521.0,17175.0,0.0,0.03,0.02,51525.0,0,,1.045792128155074,248235106.07789233,0,0,1.045792128155074,1.045209216749835,1.0339578842109756
4/15/2024,SPY_4/16/2024_522.0,SPY,4/16/2024,522.0,16209.0,0.0,0.03,0.02,48627.0,0,,1.045792128155074,248235106.07789233,0,0,1.045792128155074,1.045209216749835,1.0339578842109756
4/15/2024,SPY_4/16/2024_523.0,SPY,4/16/2024,523.0,15349.0,0.0,0.03,0.02,46047.0,0,,1.045792128155074,248235106.07789233,0,0,1.045792128155074,1.045209216749835,1.0339578842109756
4/15/2024,SPY_4/16/2024_524.0,SPY,4/16/2024,524.0,14490.0,0.0,0.02,0.01,28980.0,0,,1.045792128155074,248235106.07789233,0,0,1.045792128155074,1.045209216749835,1.0339578842109756
