Date,Symbol,Spot_Move
4/11/2024,SPY,1.0349671415301123
4/11/2024,IWM,1.0343408283859459
4/11/2024,QQQ,1.0507153280715102
4/12/2024,SPY,1.0452302985640802
4/12/2024,IWM,1.03319015950332
4/12/2024,QQQ,1.0374879456457622
4/15/2024,SPY,1.045792128155074
4/15/2024,IWM,1.045209216749835
4/15/2024,QQQ,1.0339578842109756
4/16/2024,SPY,1.0354256004358597
4/16/2024,IWM,1.0304389876862505
4/16/2024,QQQ,1.0340140536964462
4/17/2024,SPY,1.0324196227156603
4/17/2024,IWM,1.0130406370641065
4/17/2024,QQQ,1.0151262325123045
4/18/2024,SPY,1.0243771247075903
4/18/2024,IWM,1.023846026555987
4/18/2024,QQQ,1.045713709988929
4/19/2024,SPY,1.0209197592447878
4/19/2024,IWM,1.0190523555839766
4/19/2024,QQQ,1.0629847315338232
4/22/2024,SPY,1.0277422369951346
4/22/2024,IWM,1.036810338456255
4/22/2024,QQQ,1.019628777206798
4/23/2024,SPY,1.0245561727547483
4/23/2024,IWM,1.0373310710765185
4/23/2024,QQQ,1.0237350963386653
4/24/2024,SPY,1.0337569801834567
4/24/2024,IWM,1.0287923357209743
4/24/2024,QQQ,1.0366245937531007
4/25/2024,SPY,1.023982933877706
4/25/2024,IWM,1.0582273382141072
4/25/2024,QQQ,1.040797541628931
4/26/2024,SPY,1.019422890710441
4/26/2024,IWM,1.0458705389452383
4/26/2024,QQQ,1.0226873452504346
4/29/2024,SPY,1.0320886359500476
4/29/2024,IWM,1.0124839585134426
4/29/2024,QQQ,1.0210772092665235
4/30/2024,SPY,1.0319686123586913
4/30/2024,IWM,1.044861598959945
4/30/2024,QQQ,1.0435705242178495
5/1/2024,SPY,1.0288435171761177
5/1/2024,IWM,1.0323867556529285
5/1/2024,QQQ,1.0188221701444886
5/2/2024,SPY,1.022801557916053
5/2/2024,IWM,1.0304723347484825
5/2/2024,QQQ,1.0568568333932837
5/3/2024,SPY,1.0334361828956846
5/3/2024,IWM,1.0148435181356472
5/3/2024,QQQ,1.0458612595409218
5/6/2024,SPY,1.0261491771958369
5/6/2024,IWM,1.0278769359963285
5/6/2024,QQQ,1.050175144332613
5/7/2024,SPY,1.0403099952249595
5/7/2024,IWM,1.0471753614293944
5/7/2024,QQQ,1.0284117371516603
5/8/2024,SPY,1.0269078762414878
5/8/2024,IWM,1.0399751611768429
5/8/2024,QQQ,1.0556331769068352
5/9/2024,SPY,1.025208257621547
5/9/2024,IWM,1.0337720922800342
5/9/2024,QQQ,1.0244049753899096
5/10/2024,SPY,1.0180379337591934
5/10/2024,IWM,1.0457503098687304
5/10/2024,QQQ,1.0613436004285624
